title,genre_ids,vote_average,vote_count,release_year,id
Lady Bird,"[18, 35]",7.254,8822,2017,391713
Alien: Covenant,"[27, 878, 53]",6.163,9118,2017,126889
xXx: Return of Xander Cage,"[28, 12, 80]",6.1,9120,2017,47971
War for the Planet of the Apes,"[18, 878, 10752]",7.211,9439,2017,281338
The Greatest Showman,[18],7.869,9787,2017,316029
Murder on the Orient Express,"[9648, 18, 80]",6.705,10286,2017,392044
"Three Billboards Outside Ebbing, Missouri","[80, 18]",8.061,10557,2017,359940
The Fate of the Furious,"[28, 80, 53]",6.862,10600,2017,337339
Kingsman: The Golden Circle,"[28, 12, 35, 80]",6.952,10828,2017,343668
Kong: Skull Island,"[28, 12, 14]",6.548,10863,2017,293167
Pirates of the Caribbean: Dead Men Tell No Tales,"[12, 28, 14]",6.652,12478,2017,166426
Call Me by Your Name,"[10749, 18]",8.102,12494,2017,398818
The Shape of Water,"[18, 14, 10749]",7.24,12533,2017,399055
Justice League,"[28, 12, 878]",6.075,13375,2017,141052
John Wick: Chapter 2,"[28, 53, 80]",7.339,13785,2017,324552
Jumanji: Welcome to the Jungle,"[12, 35, 14, 28, 10751]",6.819,14127,2017,353486
Blade Runner 2049,"[878, 18]",7.587,14536,2017,335984
Beauty and the Beast,"[10751, 14, 10749]",6.969,15820,2017,321612
Star Wars: The Last Jedi,"[12, 28, 878]",6.8,15904,2017,181808
Baby Driver,"[28, 80]",7.445,16373,2017,339403
Dunkirk,"[10752, 28, 18]",7.4,17108,2017,374720
Split,"[27, 53]",7.343,17954,2017,381288
Get Out,"[9648, 53, 27]",7.621,18294,2017,419430
It,"[27, 53]",7.238,19803,2017,346364
Logan,"[28, 18, 878]",7.82,19950,2017,263115
Coco,"[10751, 16, 10402, 12]",8.201,20420,2017,354912
Wonder Woman,"[28, 12, 14]",7.214,20527,2017,297762
Thor: Ragnarok,"[28, 12, 878]",7.6,21514,2017,284053
Guardians of the Galaxy Vol. 2,"[878, 12, 28]",7.6,22404,2017,283995
Spider-Man: Homecoming,"[28, 12, 878]",7.329,22612,2017,315635
The Nutcracker and the Four Realms,"[14, 12, 10751]",6.1,2192,2018,426543
Shoplifters,"[18, 80, 53]",7.8,2194,2018,505192
The House with a Clock in Its Walls,"[35, 14, 10751, 27, 9648]",6.252,2240,2018,463821
The Princess Switch,"[10749, 35]",6.996,2249,2018,556803
Dogman,"[80, 18, 53]",7.528,2258,2018,483184
Climax,"[27, 18]",7.046,2260,2018,507076
Every Day,"[10749, 14]",7.251,2273,2018,465136
Hunter Killer,"[28, 12, 53]",6.897,2286,2018,399402
The Christmas Chronicles,"[35, 12, 10751, 14]",7.149,2288,2018,527435
The Spy Who Dumped Me,"[35, 28, 12]",6.388,2298,2018,454992
Mile 22,"[28, 53]",6.235,2318,2018,347375
When We First Met,"[35, 10749, 14]",6.56,2328,2018,433310
Widows,"[80, 53, 18]",6.486,2396,2018,401469
Mowgli: Legend of the Jungle,"[12, 18]",6.47,2545,2018,407436
Ghostland,"[27, 9648, 53]",7.387,2567,2018,476299
Johnny English Strikes Again,"[28, 12, 35]",6.262,2638,2018,463272
Adrift,"[53, 10749, 12]",6.838,2649,2018,429300
Alpha,"[12, 18]",6.525,2651,2018,399360
Death Wish,"[28, 80, 53, 18]",6.203,2667,2018,395990
Suspiria,"[27, 9648, 18]",6.899,2682,2018,361292
Beautiful Boy,[18],7.552,2742,2018,451915
Set It Up,"[10749, 35]",6.9,2742,2018,384677
Terrifier,"[27, 53]",6.325,2825,2018,420634
Christopher Robin,"[12, 35, 10751, 14]",7.304,2840,2018,420814
The Darkest Minds,"[28, 12, 18]",7.029,2888,2018,445651
The House That Jack Built,"[18, 27, 80, 53]",7.127,2940,2018,398173
Overlord,"[27, 10752, 878]",6.732,3004,2018,438799
Dragon Ball Super: Broly,"[28, 878, 16]",7.903,3036,2018,503314
Insidious: The Last Key,"[27, 53]",6.254,3046,2018,406563
Robin Hood,"[12, 28, 53, 14]",5.912,3067,2018,375588
12 Strong,"[10752, 18, 28, 36]",6.3,3096,2018,429351
Instant Family,"[35, 18]",7.507,3125,2018,491418
Den of Thieves,"[80, 53, 28]",6.854,3245,2018,449443
Tag,"[35, 28]",6.712,3309,2018,455980
Mary Poppins Returns,"[14, 10751, 35]",6.509,3399,2018,400650
The Cloverfield Paradox,"[27, 53, 878]",5.629,3434,2018,384521
Sierra Burgess Is a Loser,"[35, 18, 10749]",6.293,3441,2018,462919
Vice,"[18, 35]",7.015,3484,2018,429197
Mamma Mia! Here We Go Again,"[35, 10749]",7.09,3496,2018,458423
Midnight Sun,"[10749, 18]",7.812,3508,2018,419478
Bad Times at the El Royale,"[53, 9648, 80, 18]",6.845,3739,2018,446021
Crazy Rich Asians,"[35, 10749]",7.062,3841,2018,455207
Sicario: Day of the Soldado,"[28, 80, 53]",6.938,3853,2018,400535
Roma,[18],7.624,4022,2018,426426
Black Mirror: Bandersnatch,"[878, 9648, 18]",6.763,4054,2018,569547
Searching,"[18, 9648, 53]",7.57,4070,2018,489999
The First Purge,"[28, 27, 53]",6.001,4123,2018,442249
Truth or Dare,"[53, 27]",5.94,4147,2018,460019
The Ballad of Buster Scruggs,"[37, 35, 18, 10402, 9648, 10749]",7.13,4262,2018,537996
The Grinch,"[10751, 35, 16]",6.869,4271,2018,360920
A Simple Favor,"[53, 35, 9648]",6.638,4458,2018,484247
The Commuter,"[28, 53, 9648]",6.364,4510,2018,399035
Hotel Transylvania 3: Summer Vacation,"[16, 35, 10751, 14]",6.853,4605,2018,400155
Upgrade,"[28, 53, 878]",7.497,4747,2018,500664
Mortal Engines,"[12, 878]",6.208,4920,2018,428078
Halloween,"[27, 53]",6.566,4933,2018,424139
The Predator,"[878, 28, 53]",5.629,4941,2018,346910
Pacific Rim: Uprising,"[28, 14, 878, 12]",6.133,5171,2018,268896
Isle of Dogs,"[12, 35, 16]",7.843,5188,2018,399174
Skyscraper,"[28, 53, 12]",6.3,5197,2018,447200
The Mule,"[80, 18]",6.865,5205,2018,504172
First Man,"[36, 18]",7.042,5477,2018,369972
Creed II,"[18, 28]",7.033,5629,2018,480530
The Equalizer 2,"[28, 53, 80]",6.8,5708,2018,345887
The Favourite,"[36, 35, 18]",7.5,5729,2018,375262
Game Night,"[9648, 35, 80]",6.846,6070,2018,445571
"Love, Simon","[35, 18, 10749]",7.983,6164,2018,449176
Red Sparrow,"[53, 9648]",6.533,6201,2018,401981
Bumblebee,"[28, 12, 878]",6.718,6431,2018,424783
The Nun,[27],5.908,7017,2018,439079
Rampage,"[28, 12, 878]",6.456,7312,2018,427641
The Kissing Booth,"[10749, 35]",7.17,7356,2018,454983
BlacKkKlansman,"[80, 35, 18, 36]",7.5,7865,2018,487558
Ralph Breaks the Internet,"[10751, 16, 35, 12]",7.169,7885,2018,404368
The Meg,"[28, 878, 27]",6.2,7984,2018,345940
Tomb Raider,"[28, 12, 14]",6.366,8140,2018,338970
Maze Runner: The Death Cure,"[878, 28, 12, 53]",7.093,8162,2018,336843
Hereditary,"[27, 9648, 53]",7.291,8225,2018,493922
Fifty Shades Freed,"[18, 10749]",6.682,8233,2018,337167
Ocean's Eight,"[80, 35, 28]",6.967,8578,2018,402900
To All the Boys I've Loved Before,"[35, 10749]",7.596,8604,2018,466282
Mission: Impossible - Fallout,"[28, 12]",7.4,8810,2018,353081
Solo: A Star Wars Story,"[878, 12, 28]",6.6,9000,2018,348350
Annihilation,"[878, 27]",6.434,9078,2018,300668
Bird Box,"[27, 53, 18]",6.826,10302,2018,405774
Fantastic Beasts: The Crimes of Grindelwald,"[14, 12]",6.8,11230,2018,338952
A Star Is Born,"[10402, 18, 10749]",7.5,11994,2018,332562
Green Book,"[18, 35, 36]",8.224,12370,2018,490132
Jurassic World: Fallen Kingdom,"[28, 12, 878, 53]",6.538,12392,2018,351286
Incredibles 2,"[28, 12, 16, 10751]",7.456,13353,2018,260513
Ant-Man and the Wasp,"[28, 12, 878]",6.912,13827,2018,363088
Aquaman,"[28, 12, 14]",6.872,14563,2018,297802
A Quiet Place,"[27, 18, 878]",7.396,14891,2018,447332
Ready Player One,"[12, 28, 878]",7.584,16365,2018,333339
Spider-Man: Into the Spider-Verse,"[16, 28, 12, 878]",8.395,16595,2018,324857
Venom,"[878, 28]",6.8,16842,2018,335983
Bohemian Rhapsody,"[10402, 18]",7.964,17395,2018,424694
Deadpool 2,"[28, 35, 12]",7.489,18724,2018,383498
Black Panther,"[28, 12, 878]",7.366,22948,2018,284054
Avengers: Infinity War,"[12, 28, 878]",8.235,31140,2018,299536
Togo,"[12, 10751]",8.142,2147,2019,606856
The Highwaymen,"[80, 18, 53]",6.764,2150,2019,500682
Countdown,"[27, 53]",6.217,2227,2019,599975
In the Tall Grass,"[27, 18, 53]",5.542,2313,2019,523139
A Rainy Day in New York,"[35, 10749]",6.486,2320,2019,475303
The Lego Movie 2: The Second Part,"[28, 12, 16, 35, 10751]",6.664,2332,2019,280217
Vivarium,"[878, 53, 9648, 27]",6.047,2358,2019,458305
Ma,"[27, 53]",5.818,2364,2019,502416
Polar,"[28, 80, 18]",6.3,2372,2019,483906
Dark Waters,"[18, 53]",7.532,2377,2019,552178
Just Mercy,"[18, 80, 36]",7.857,2397,2019,522212
The Addams Family,"[10751, 16, 35, 14]",6.6,2428,2019,481084
Weathering with You,"[16, 18, 14, 10749]",8.0,2495,2019,568160
Last Christmas,"[35, 10749]",7.218,2500,2019,549053
The Curse of La Llorona,[27],5.655,2586,2019,480414
Midway,"[28, 10752, 36]",7.111,2599,2019,522162
The Hustle,"[35, 80]",6.191,2612,2019,449562
Richard Jewell,"[18, 36]",7.418,2632,2019,292011
I Am Mother,"[878, 53]",6.706,2702,2019,505948
Cold Pursuit,"[80, 28]",5.9,2710,2019,438650
The Dead Don't Die,"[35, 27]",5.431,2750,2019,535581
Booksmart,[35],7.009,2751,2019,505600
Fractured,"[53, 18]",6.748,2758,2019,568091
Scary Stories to Tell in the Dark,"[27, 12, 9648]",6.495,2777,2019,417384
Long Shot,"[35, 10749]",6.719,2788,2019,459992
Portrait of a Lady on Fire,"[18, 10749, 36]",8.107,2803,2019,531428
Anna,"[28, 12, 53]",6.706,2856,2019,484641
Spies in Disguise,"[16, 28, 12, 35, 10751]",7.57,2892,2019,431693
Hustlers,"[18, 35, 80]",6.5,3028,2019,540901
The Two Popes,"[18, 36]",7.489,3051,2019,551332
Charlie's Angels,"[28, 12, 35]",6.4,3072,2019,458897
Bombshell,[18],6.784,3112,2019,525661
