title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner
Dragon Ball Super: Super Hero,7.887,2947,0,86600000,tt14614892,610150,"['Animation', 'Science Fiction', 'Action']",2022,No
Dream Scenario,6.651,1160,10000000,14114415,tt21942866,823482,"['Comedy', 'Fantasy']",2023,No
Dumbo,6.591,4451,170000000,353284621,tt3861390,329996,"['Family', 'Fantasy', 'Adventure']",2019,No
Dune,7.777,14109,165000000,407573628,tt1160419,438631,"['Science Fiction', 'Adventure']",2021,No
Dune: Part Two,8.132,7199,190000000,714844358,tt15239678,693134,"['Science Fiction', 'Adventure']",2024,No
Dungeons & Dragons: Honor Among Thieves,7.332,4231,151000000,208200000,tt2906216,493529,"['Adventure', 'Fantasy', 'Comedy']",2023,No
Dunkirk,7.449,17108,150000000,527000000,tt5013056,374720,"['War', 'Action', 'Drama']",2017,No
El Camino: A Breaking Bad Movie,7.042,5380,0,0,tt9243946,559969,"['Crime', 'Drama', 'Thriller']",2019,No
Elemental,7.6,5026,200000000,496444308,tt15789038,976573,"['Family', 'Fantasy', 'Comedy', 'Romance', 'Animation']",2023,No
Elvis,7.477,3710,85000000,288670284,tt3704428,614934,"['Drama', 'Music', 'History']",2022,No
Emilia Pérez,6.511,1835,26000000,16302703,tt20221436,974950,"['Drama', 'Thriller']",2024,No
Emma.,7.009,1862,10000000,25200000,tt9214832,556678,"['Comedy', 'Romance']",2020,No
Encanto,7.58,9925,150000000,261292688,tt2953050,568124,"['Animation', 'Comedy', 'Family', 'Fantasy']",2021,No
Enola Holmes,7.242,6321,21000000,0,tt7846844,497582,"['Adventure', 'Mystery', 'Crime']",2020,No
Enola Holmes 2,7.321,1635,0,0,tt14641788,829280,"['Adventure', 'Mystery', 'Crime']",2022,No
Escape Room,6.541,4893,9000000,155712077,tt5886046,522681,"['Horror', 'Thriller', 'Mystery']",2019,No
Escape Room: Tournament of Champions,6.515,2171,15000000,65774490,tt9844522,585216,"['Horror', 'Thriller', 'Mystery']",2021,No
Escape from Pretoria,7.186,1419,0,2431995,tt5797184,502425,"['Drama', 'History', 'Thriller']",2020,No
Eternals,6.792,8827,200000000,402064899,tt9032400,524434,"['Science Fiction', 'Action', 'Adventure']",2021,No
Eurovision Song Contest: The Story of Fire Saga,6.42,1502,0,0,tt8580274,531454,"['Comedy', 'Music']",2020,No
Everest,6.827,5079,55000000,203427584,tt2719848,253412,"['Adventure', 'Drama', 'History']",2015,No
Every Day,7.25,2272,4900000,10400000,tt7026672,465136,"['Romance', 'Fantasy']",2018,No
Everything Everywhere All at Once,7.728,7441,25000000,139200000,tt6710474,545611,"['Action', 'Adventure', 'Science Fiction']",2022,Yes
"Everything, Everything",7.242,3723,10000000,61621140,tt5001718,417678,"['Drama', 'Romance']",2017,No
Evil Dead Rise,6.923,3435,15000000,147156372,tt13345606,713704,"['Horror', 'Thriller']",2023,No
Expend4bles,6.09,1764,100000000,37917985,tt3291150,299054,"['Action', 'Adventure', 'Thriller']",2023,No
Extraction,7.304,6385,65000000,0,tt8936646,545609,"['Action', 'Thriller']",2020,No
Extraction 2,7.406,2713,65000000,0,tt12263384,697843,"['Action', 'Thriller', 'Crime']",2023,No
"Extremely Wicked, Shockingly Evil and Vile",7.0,3461,0,0,tt2481498,457799,"['Drama', 'Crime']",2019,No
F9,7.033,7509,200000000,726229501,tt5433138,385128,"['Action', 'Adventure', 'Crime']",2021,No
Fall,7.122,4316,3000000,17363261,tt15325794,985939,['Thriller'],2022,No
Fantastic Beasts and Where to Find Them,7.3,19331,180000000,809342332,tt3183660,259316,"['Fantasy', 'Adventure']",2016,No
Fantastic Beasts: The Crimes of Grindelwald,6.8,11230,200000000,654900000,tt4123430,338952,"['Fantasy', 'Adventure']",2018,No
