title,vote_average,vote_count,budget,revenue,imdb_id,genres,id
American Fiction,7.283,1209,16000000,22483370,tt23561236,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",1056360
The Exorcist: Believer,5.8,1197,30000000,136284218,tt12921446,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",807172
Missing,7.41,1188,7000000,45100756,tt10855768,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",768362
Haunted Mansion,6.439,1169,157800000,117449790,tt1695843,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",616747
Kandahar,6.808,1162,30000000,9400000,tt5761544,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",717930
Ferrari,6.4,1162,95000000,39220516,tt3758542,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",365620
Dream Scenario,6.651,1160,10000000,14114415,tt21942866,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",823482
Asterix & Obelix: The Middle Kingdom,4.837,1119,72000000,46497678,tt11210390,"[{'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",643215
Past Lives,7.7,2082,12000000,28126646,tt13238346,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",666277
Ghosted,6.916,2040,40000000,0,tt15326988,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",868759
Renfield,6.46,1997,65000000,26874347,tt11358390,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",649609
Insidious: The Red Door,6.534,1871,16000000,189086877,tt13405778,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",614479
Murder Mystery 2,6.4,1857,0,0,tt15255288,"[{'id': 9648, 'name': 'Mystery'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",638974
Heart of Stone,6.758,1820,0,0,tt13603966,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]",724209
The Last Voyage of the Demeter,6.748,1816,45000000,21600000,tt1001520,"[{'id': 27, 'name': 'Horror'}, {'id': 14, 'name': 'Fantasy'}]",635910
Operation Fortune: Ruse de Guerre,6.466,1773,50000000,48983306,tt7985704,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",739405
Expend4bles,6.09,1764,100000000,37917985,tt3291150,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",299054
Wish,6.272,1687,175000000,254997360,tt11304740,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",1022796
Perfect Days,7.773,1656,14000000,24094016,tt27503384,"[{'id': 18, 'name': 'Drama'}]",976893
The Family Plan,7.242,1651,0,0,tt16431870,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1029575
Tetris,7.663,1569,0,0,tt12758060,"[{'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",726759
Winnie the Pooh: Blood and Honey,4.993,1511,100000,7717044,tt19623240,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",980078
Nowhere,7.336,1488,0,0,tt15789472,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",1151534
Teenage Mutant Ninja Turtles: Mutant Mayhem,7.211,1488,75000000,180513586,tt8589698,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",614930
Thanksgiving,6.483,1454,15000000,46553280,tt1448754,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",1071215
"Red, White & Royal Blue",7.9,1453,0,0,tt10172266,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",930094
There's Still Tomorrow,8.1,1440,9000000,50121593,tt21800162,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 36, 'name': 'History'}]",1026227
