title,genre_ids,vote_average,vote_count,release_year,id
After Ever Happy,"[10749, 18]",6.79,1325,2022,744276
Chip 'n Dale: Rescue Rangers,"[16, 10751, 35, 12, 9648]",6.999,1314,2022,420821
The Guardians of the Galaxy Holiday Special,"[35, 878, 12]",7.1,2225,2022,774752
Samaritan,"[878, 80, 28]",6.673,2113,2022,629176
Day Shift,"[28, 14, 27, 35, 53]",6.753,2100,2022,755566
Where the Crawdads Sing,"[18, 9648, 10749]",7.543,2095,2022,682507
The Pale Blue Eye,"[53, 80, 27, 9648]",6.811,2033,2022,800815
Halloween Ends,"[27, 53]",6.066,1920,2022,616820
Luck,"[16, 12, 35, 14]",7.749,1860,2022,585511
Troll,"[14, 28, 12]",6.583,1832,2022,736526
365 Days: This Day,"[10749, 18]",5.93,1783,2022,829557
The Ice Age Adventures of Buck Wild,"[16, 35, 10751, 12]",6.588,1779,2022,774825
Fresh,"[27, 53]",6.973,1775,2022,787752
Hocus Pocus 2,"[14, 35, 10751]",7.2,1773,2022,642885
Amsterdam,"[9648, 35, 18]",6.063,1718,2022,664469
Dog,"[18, 35]",7.306,1694,2022,626735
Pinocchio,"[14, 12, 10751]",6.306,1683,2022,532639
Aftersun,[18],7.675,1673,2022,965150
DC League of Super-Pets,"[10751, 35, 12, 16, 878]",7.178,1667,2022,539681
Spiderhead,"[878, 53]",5.786,1667,2022,615469
Beast,"[53, 28, 27, 12]",6.542,1665,2022,760741
Enola Holmes 2,"[12, 9648, 80]",7.321,1635,2022,829280
Through My Window,"[10749, 18, 35]",7.362,3279,2022,818647
Guillermo del Toro's Pinocchio,"[16, 14, 12, 18]",8.042,3174,2022,555604
The Banshees of Inisherin,"[18, 35]",7.457,3117,2022,674324
Barbarian,"[27, 53]",6.839,2960,2022,913290
Dragon Ball Super: Super Hero,"[16, 878, 28]",7.887,2947,2022,610150
Hotel Transylvania: Transformania,"[16, 35, 10751, 12, 14]",7.051,2937,2022,585083
Don't Worry Darling,"[878, 9648, 53]",6.778,2782,2022,619730
Purple Hearts,"[10749, 18]",8.1,2772,2022,762975
Hustle,"[18, 35]",7.719,2709,2022,705861
Triangle of Sadness,"[35, 18]",7.027,2628,2022,497828
The Fabelmans,[18],7.576,2589,2022,804095
Sisu,"[28, 10752]",7.397,2481,2022,840326
Pearl,"[27, 53]",7.241,2381,2022,949423
The Bad Guys,"[10751, 35, 80, 12, 16, 28]",7.535,2380,2022,629542
Violent Night,"[28, 35, 14]",7.237,2378,2022,899112
Terrifier 2,"[27, 53]",6.697,2373,2022,663712
Ambulance,"[53, 28, 80]",6.636,2302,2022,763285
The Unbearable Weight of Massive Talent,"[28, 35, 80]",6.788,2298,2022,648579
The Woman King,"[28, 18, 36]",7.636,2265,2022,724495
Orphan: First Kill,"[27, 53]",6.613,2233,2022,760161
The Adam Project,"[12, 878, 28, 35]",7.006,4684,2022,696806
Morbius,"[28, 878, 14]",5.939,4632,2022,526896
Nope,"[27, 878]",6.825,4596,2022,762504
M3GAN,"[878, 27]",7.047,4555,2022,536554
All Quiet on the Western Front,"[10752, 36, 18]",7.722,4376,2022,49046
The Whale,[18],7.793,4357,2022,785084
Fall,[53],7.122,4316,2022,985939
The Gray Man,"[28, 53]",6.923,3989,2022,725201
Death on the Nile,"[9648, 80, 53]",6.422,3979,2022,505026
Minions: The Rise of Gru,"[10751, 35, 12, 16, 878, 14]",7.285,3861,2022,438148
The Lost City,"[28, 12, 35]",6.471,3832,2022,752623
Smile,"[27, 9648]",6.667,3812,2022,882598
X,"[27, 53]",6.734,3727,2022,760104
Elvis,"[18, 10402, 36]",7.477,3710,2022,614934
Lightyear,"[16, 878, 10751, 12]",6.896,3657,2022,718789
Scream,"[27, 9648]",6.689,3614,2022,646385
Babylon,"[18, 35]",7.373,3532,2022,615777
Harry Potter 20th Anniversary: Return to Hogwarts,[99],7.306,3452,2022,899082
Moonfall,"[878, 12, 28]",6.266,3392,2022,406759
A Man Called Otto,"[35, 18]",7.754,3292,2022,937278
Avatar: The Way of Water,"[28, 12, 878]",7.6,13043,2022,76600
The Batman,"[80, 9648, 53]",7.658,11370,2022,414906
Top Gun: Maverick,"[28, 18]",8.165,10335,2022,361743
Doctor Strange in the Multiverse of Madness,"[14, 28, 12]",7.24,9872,2022,453395
Puss in Boots: The Last Wish,"[16, 12, 14, 35, 10751]",8.21,8484,2022,315162
Thor: Love and Thunder,"[14, 28, 35]",6.4,8203,2022,616037
Everything Everywhere All at Once,"[28, 12, 878]",7.728,7442,2022,545611
Prey,"[53, 28, 878]",7.674,7341,2022,766507
Black Panther: Wakanda Forever,"[28, 12, 878]",7.0,7101,2022,505642
Bullet Train,"[28, 35, 53]",7.4,7041,2022,718930
Black Adam,"[28, 12, 878]",6.8,6766,2022,436270
Jurassic World Dominion,"[12, 28, 878]",6.631,6732,2022,507086
Uncharted,"[28, 12]",6.886,6488,2022,335787
Glass Onion: A Knives Out Mystery,"[35, 80, 9648]",7.037,6179,2022,661374
The Menu,"[35, 27, 53]",7.172,5706,2022,593643
Sonic the Hedgehog 2,"[28, 12, 10751, 35]",7.447,5688,2022,675353
Turning Red,"[16, 10751, 35, 14]",7.329,5589,2022,508947
The Black Phone,"[27, 53]",7.551,5498,2022,756999
Fantastic Beasts: The Secrets of Dumbledore,"[14, 12]",6.635,4882,2022,338953
The Northman,"[28, 12, 14]",7.036,4777,2022,639933
Minari,[18],7.341,1758,2021,615643
Those Who Wish Me Dead,"[53, 28]",6.623,1757,2021,578701
Spencer,"[18, 36]",6.751,1756,2021,716612
The Hand of God,[18],7.535,1727,2021,722778
West Side Story,"[18, 10749, 80]",6.956,1694,2021,511809
The Marksman,"[28, 18, 53]",6.798,1681,2021,634528
Candyman,"[27, 53]",5.999,1679,2021,565028
Snake Eyes: G.I. Joe Origins,"[28, 12]",6.471,1648,2021,568620
Blood Red Sky,"[27, 53, 28]",6.813,1647,2021,760883
The Worst Person in the World,"[18, 10749, 35]",7.441,1646,2021,660120
Judas and the Black Messiah,"[18, 36]",7.311,1635,2021,583406
Kate,"[28, 53]",6.636,1626,2021,597891
Pig,"[18, 53]",6.646,1614,2021,635731
Belfast,"[18, 36]",7.1,1610,2021,777270
Titane,"[18, 53, 27]",6.331,1588,2021,630240
Jujutsu Kaisen 0,"[16, 28, 14]",8.121,1578,2021,810693
Love Hard,"[35, 10749]",6.93,1547,2021,734265
Fatherhood,"[18, 35]",7.5,1481,2021,607259
Oxygen,"[878, 53, 27]",6.604,1480,2021,471498
He's All That,"[35, 10749]",6.493,1444,2021,347626
The Unholy,"[27, 9648]",6.568,2221,2021,632357
"tick, tick... BOOM!","[18, 10402]",7.612,2214,2021,537116
Spiral: From the Book of Saw,"[27, 9648]",5.92,2181,2021,602734
Army of Thieves,"[28, 80, 35]",6.813,2178,2021,796499
Escape Room: Tournament of Champions,"[27, 53, 9648]",6.515,2171,2021,585216
Fear Street: 1978,"[27, 9648]",7.2,2111,2021,591274
The Green Knight,"[12, 18, 14]",6.607,2070,2021,559907
The Woman in the Window,"[80, 9648, 53]",6.0,2070,2021,520663
Infinite,"[878, 28, 12]",6.59,2022,2021,581726
To All the Boys: Always and Forever,"[10749, 35, 18]",7.515,2008,2021,614409
The Kissing Booth 3,"[10749, 35]",6.869,1976,2021,727745
Ron's Gone Wrong,"[16, 878, 10751, 35]",7.9,1949,2021,482321
The Unforgivable,"[18, 80]",7.4,1935,2021,645886
Fear Street: 1666,"[9648, 27]",7.1,1897,2021,591275
Reminiscence,"[9648, 878]",6.541,1877,2021,579047
Outside the Wire,"[53, 28, 878]",6.349,1863,2021,775996
The Ice Road,"[28, 53]",6.8,1827,2021,646207
Palmer,[18],8.139,1824,2021,458220
Boss Level,"[28, 878, 53]",6.86,1784,2021,513310
Clifford the Big Red Dog,"[10751, 12, 35, 14]",7.2,1779,2021,585245
I Care a Lot,"[80, 53, 18, 35]",6.6,2861,2021,601666
The Power of the Dog,"[18, 37]",6.753,2834,2021,600583
The French Dispatch,"[18, 35]",7.015,2819,2021,542178
Halloween Kills,"[27, 53]",6.432,2815,2021,610253
Don't Breathe 2,"[53, 27]",7.019,2721,2021,482373
King Richard,"[18, 36]",7.6,2701,2021,614917
After We Fell,"[10749, 18]",7.023,2687,2021,744275
The Little Things,"[18, 80, 53]",6.3,2671,2021,602269
The Boss Baby: Family Business,"[16, 35, 12, 10751]",7.3,2634,2021,459151
The Forever Purge,"[28, 27, 53]",6.894,2602,2021,602223
Resident Evil: Welcome to Raccoon City,"[28, 27, 878]",5.955,2597,2021,460458
Tom Clancy's Without Remorse,"[28, 53, 10752]",6.954,2576,2021,567189
Fear Street: 1994,"[27, 9648]",6.7,2516,2021,591273
Tom & Jerry,"[35, 10751, 16]",6.744,2516,2021,587807
Malignant,"[27, 9648]",6.758,2505,2021,619778
Licorice Pizza,"[18, 35, 10749]",7.0,2495,2021,718032
Chaos Walking,"[14, 878, 12]",6.562,2458,2021,412656
Hitman's Wife's Bodyguard,"[28, 35, 80, 53]",6.663,2455,2021,522931
CODA,"[18, 10402, 10749]",7.903,2426,2021,776503
Coming 2 America,[35],6.368,2312,2021,484718
Red Notice,"[28, 35, 80]",6.8,6175,2021,512195
The Matrix Resurrections,"[878, 28, 12]",6.4,6174,2021,624860
Mortal Kombat,"[28, 14, 12]",7.003,6107,2021,460465
Jungle Cruise,"[14, 12]",7.323,5959,2021,451048
Wrath of Man,"[53, 80, 18]",7.592,5811,2021,637649
Ghostbusters: Afterlife,"[14, 35, 12, 878]",7.3,4942,2021,425909
The King's Man,"[28, 12, 53]",6.728,4859,2021,476669
Old,"[53, 9648, 27]",6.323,4714,2021,631843
Sing 2,"[10751, 35, 10402, 16]",7.838,4650,2021,438695
Army of the Dead,"[80, 28, 27]",6.229,4247,2021,503736
Space Jam: A New Legacy,"[10751, 35, 12, 16, 878]",6.7,4134,2021,379686
The Tomorrow War,"[28, 878, 12]",7.49,3871,2021,588228
Finch,"[878, 18, 12]",7.823,3774,2021,522402
Last Night in Soho,"[27, 9648]",7.282,3681,2021,576845
The Last Duel,"[36, 18, 28]",7.4,3659,2021,617653
House of Gucci,"[18, 80, 36]",6.575,3307,2021,644495
Nomadland,[18],7.185,3194,2021,581734
Nightmare Alley,"[80, 18, 53]",6.965,3177,2021,597208
The Mitchells vs. the Machines,"[16, 12, 35]",7.861,3174,2021,501929
The Guilty,"[18, 53]",6.427,2933,2021,567748
Spider-Man: No Way Home,"[28, 12, 878]",7.937,21275,2021,634649
Dune,"[878, 12]",7.778,14110,2021,438631
Venom: Let There Be Carnage,"[878, 28, 12]",6.8,10869,2021,580489
Black Widow,"[28, 12, 878]",7.188,10849,2021,497698
Zack Snyder's Justice League,"[28, 12, 14]",8.102,10479,2021,791373
Godzilla vs. Kong,"[28, 878, 12]",7.558,10373,2021,399566
Shang-Chi and the Legend of the Ten Rings,"[28, 12, 14]",7.5,10031,2021,566525
Encanto,"[16, 35, 10751, 14]",7.58,9925,2021,568124
Cruella,"[35, 80, 12]",7.983,9784,2021,337404
Free Guy,"[35, 12, 878]",7.463,9379,2021,550988
The Suicide Squad,"[28, 35, 12]",7.477,9229,2021,436969
Don't Look Up,"[35, 878]",7.067,8890,2021,646380
Eternals,"[878, 28, 12]",6.8,8827,2021,524434
Luca,"[16, 35, 14, 12, 10751]",7.793,8726,2021,508943
Nobody,"[28, 53]",7.9,7869,2021,615457
F9,"[28, 12, 80]",7.033,7509,2021,385128
Raya and the Last Dragon,"[16, 10751, 14, 28, 12]",7.818,7088,2021,527774
A Quiet Place Part II,"[878, 53, 27]",7.451,7073,2021,520763
No Time to Die,"[28, 53, 12]",7.353,6757,2021,370172
The Conjuring: The Devil Made Me Do It,"[27, 9648, 53]",7.4,6327,2021,423108
The Way Back,[18],6.643,1281,2020,529485
Happiest Season,"[10749, 35]",7.127,1271,2020,520172
Brahms: The Boy II,"[27, 9648, 53]",5.88,1270,2020,555974
Pieces of a Woman,[18],7.021,1266,2020,641662
Tolo Tolo,"[35, 18, 10751]",6.116,1263,2020,593402
The Courier,"[53, 36, 18]",7.038,1241,2020,522241
The Wrong Missy,"[35, 10749]",6.144,1229,2020,582596
Ma Rainey's Black Bottom,"[18, 10402]",6.651,1216,2020,615667
I Still Believe,"[10402, 18, 10749]",7.6,1206,2020,585244
Work It,"[35, 10402]",7.506,1198,2020,612706
His House,"[18, 27]",6.415,1177,2020,575774
Feel the Beat,"[35, 10402, 18]",7.57,1143,2020,707886
Chemical Hearts,"[18, 10749]",7.319,1143,2020,621013
Rebecca,"[10749, 18, 9648, 53]",6.3,1135,2020,505379
Da 5 Bloods,"[10752, 18]",6.448,1132,2020,581859
"Miraculous World: New York, United HeroeZ","[16, 10770, 14, 28]",8.098,1119,2020,755812
The Outpost,"[10752, 18, 36, 28]",6.9,1116,2020,531876
The Christmas Chronicles: Part Two,"[10751, 14, 12, 35]",6.484,1106,2020,654028
Money Heist: The Phenomenon,[99],7.5,1080,2020,689249
The King of Staten Island,"[35, 18]",7.0,1080,2020,579583
Freaky,"[27, 35]",6.558,1743,2020,551804
Hubie Halloween,"[35, 9648, 27]",5.913,1721,2020,617505
Mank,"[18, 36]",6.684,1712,2020,614560
The Social Dilemma,"[99, 18]",7.44,1699,2020,656690
Artemis Fowl,"[12, 14, 878, 10751, 28]",5.535,1697,2020,475430
Color Out of Space,"[27, 878, 9648, 53]",6.054,1596,2020,548473
The Half of It,"[35, 10749, 18]",7.1,1552,2020,597219
