title,vote_average,vote_count,budget,revenue,imdb_id,id,movie_genres,release_year,Winner,cpi_multiplier,budget_2024,revenue_2024
After,7.115,8434,14000000,69497587,tt4126476,537915,"['Romance', 'Drama']",2019,No,1.23,17220000.0,85482032.01
After Ever Happy,6.79,1325,14000000,19238073,tt13070038,744276,"['Romance', 'Drama']",2022,No,1.07,14980000.0,20584738.11
After We Collided,7.163,5413,14000000,47990414,tt10362466,613504,"['Romance', 'Drama']",2020,No,1.21,16940000.0,58068400.94
After We Fell,7.023,2687,14000000,21753705,tt13069986,744275,"['Romance', 'Drama']",2021,No,1.16,16239999.999999998,25234297.799999997
Aftersun,7.675,1673,0,7834405,tt19770238,965150,['Drama'],2022,No,1.07,0.0,8382813.350000001
Air,7.3,2196,80000000,90100000,tt16419074,964980,"['Drama', 'History']",2023,No,1.03,82400000.0,92803000.0
Aladdin,7.093,10398,183000000,1097831681,tt6139732,420817,"['Adventure', 'Fantasy', 'Romance', 'Family']",2019,No,1.23,225090000.0,1350332967.6299999
Alice Through the Looking Glass,6.56,6630,170000000,299457024,tt2567026,241259,"['Adventure', 'Family', 'Fantasy']",2016,No,1.31,222700000.0,392288701.44
Alien: Covenant,6.162,9116,97000000,240891763,tt2316204,126889,"['Horror', 'Science Fiction', 'Thriller']",2017,No,1.28,124160000.0,308341456.64
Alien: Romulus,7.175,4090,80000000,350865342,tt18412256,945961,"['Horror', 'Science Fiction']",2024,No,1.0,80000000.0,350865342.0
Alita: Battle Angel,7.244,9669,170000000,405000000,tt0437086,399579,"['Action', 'Science Fiction', 'Adventure']",2019,No,1.23,209100000.0,498150000.0
All Quiet on the Western Front,7.722,4376,20000000,0,tt1016150,49046,"['War', 'History', 'Drama']",2022,Yes,1.07,21400000.0,0.0
